NAME,LABEL
household_id,Unique HH ID in wave 1
household_id2,Unique HH ID in wave 2
rural,EA rural urban indicator
ea_id,Unique Enumeration Area Indentifier
ea_id2,Unique Enumeration Area Indentifier2
saq01,Region Code
saq02,Zone Code
saq03,Woreda Code
saq04,Town Code
saq05,Subcity Code
saq06,Kebele/FA Code
saq07,ea
saq08,Household ID
hh_saq09,Household Size
hh_saq11,Household Head Name
hh_saq12,Village Name Where the HH Lives
hh_saq25_b,GPS Coordinates Longitude
hh_saq25_a,GPS Coordinates Latitude
individual_id,Unique individual ID in wave 1
individual_id2,Unique individual ID in wave 2
hh_s1q00,HH Member ID Code
hh_s1q01,HH Member Name
hh_s1q02,HH Member Relationship to HH Head
hh_s1q03,What is the sex of [Name]?
hh_s1q04a,How old is [Name]? (Years)
hh_s1q04b,How old is [Name]? (Months)
hh_s1q04_b,is [NAME] a new HH member
hh_s1q04c,Is [NAME] still a member of this household?
hh_s1q04d,Is the sex recorded on flap F accurate?
hh_s1q04e,What is the correct sex of [NAME]?
hh_s1q04f,CHECK IF THE AGE RECORDED ON THE PRINTOUT IS THE SAME AS THE ANSWER GIVEN FOR Q4
hh_s1q04g_1,What is [NAME]'s date birth?
hh_s1q04g_2,What is [NAME]'s month of birth?
hh_s1q04g_3,What is [NAME]'s year of birth?
hh_s1q04h,What is [NAME]'s correct age?
hh_s1q05,For how many months during the last 12 months was [Name] way from the HH?
hh_s1q06,Is respondent 10 years and older?
hh_s1q07,What is [Name]'s main religion?
hh_s1q08,What is [Name]'s marital status?
hh_s1q09,Does [Name]'s spouse/partner live in this household now?
hh_s1q10,ID Code of spouse
hh_s1q11,In what region were you born?
hh_s1q12,Does [Name]'s biological father live in the HH?
hh_s1q13,Father's Roster ID
hh_s1q14,Is [Name]'s biological father alive?
hh_s1q15,What is/was [Name]'s biological father's highest educational level completed?
hh_s1q16,Does [Name]'s biological mother live in this HH?
hh_s1q17,Mother's Roster ID Code
hh_s1q18,Is [Name]'s biological mother alive?
hh_s1q19,What is/was [name]'s biological mother's highest education level completed?
hh_s1q20,What is/was [NAME]'s biological father's main industry of occupation?
hh_s1q21,What is/was [NAME]'s biological mother's main industry of occupation?
hh_s1q22,Why did [NAME] leave this household?
hh_s1q23_a,In which month did [NAME] leave this household?(Month member left household)
hh_s1q23_b,In which year did [NAME] leave this household?(Year member left household)
hh_s1q24,Does [NAME] reside in Ethiopia or outside Ethiopia now?
hh_s1q25,Which region does [NAME] reside in at present?
hh_s1q26,Does [NAME] currently reside in an urban or in a rural location?
hh_s1q27,What type of urban location does [NAME] currently reside in?
hh_s1q28,What country does [NAME] reside in at present?
hh_s1q29,How many months has [NAME] been away?
hh_s1q31,Has [NAME] found work or started work?
hh_s1q32_a,What is [NAME's] occupation?
hh_s1q32_b,What is [NAME's] occupation?
hh_s1q33,What is the main economic activity of the enterprise that [NAME] is working in
hh_s1q34,Who provided information on where to go and/or how to find work during [NAME's]
hh_s1q35,From whom did [NAME] mainly obtain money in order to migrate for this move? (MAI
hh_s1q36,While travelling or at the final destination did anyone else help [NAME]?
hh_s1q37,Who helped [NAME]?
pw_w3,Final adjusted wave 3 weight
hh_s2q00,HH Member ID Code
hh_s2q01,Mark 'X' if member if 5 years or older
hh_s2q02,Can you read and write in any language?
hh_s2q03,Have you ever attended school?
hh_s2q04,What was the main reason you never attended school?
hh_s2q05,What is the highest grade you completed?
hh_s2q06,Are you currently attending school?
hh_s2q07,Why are you not currently in school?
hh_s2q08,Which grade are you attending?
hh_s2q09,What kind of organization runs the school that you are attending?
hh_s2q10,Were you absent from school last month for more than a week?
hh_s2q11,What is the main reason for being absent from school?
s2q11_others,
hh_s2q12,By what means do you go to school?
hh_s2q13,How much time does it take you to get to school? (in minutes)
hh_s2q14,Do you receive any scholarship or assistance to attend school from any organizat
hh_s2q15,"For the current school year, what is the value of this assistance, including the"
hh_s2q16,"During the past 12 months, what did your household spend on your school fees? (B"
hh_s2q17,"During the past 12 months, what did your household spend on school supplies? (BI"
hh_s2q18,Do you plan to attend school next year?
hh_s3q00,HH Member ID Code
hh_s3q01,During the past 4 weeks has [NAME] consulted a health practitioner or traditiona
hh_s3q02a,For what reason(s) did [NAME] consult this person? (Reason 1 )
hh_s3q02a_others,
hh_s3q02b,For what reason(s) did [NAME] consult this person? (Reason 2 )
s3q02b_others,
hh_s3q02c,For what reason(s) did [NAME] consult this person? (Reason 3 )
hh_s3q03,Have you faced any health problems during the last 4 weeks?
hh_s3q04_a,What was the sickness/injury you faced?(1ST Sickness)
s3q04a_others,
hh_s3q04_b,What was the sickness/injury you faced?(2ND Sickness)
s3q04b_others,
hh_s3q05,For how many days were you absent from your usual activity due to the health pro
hh_s3q06a,Whom did [NAME] consult for this illness or injury in the last 4 weeks?
s3q06a_others,
hh_s3q06b,Where do you receive or consult medial assistance primarily?
s3q06b_others,
hh_s3q06c,"How much did [NAME] pay for the first consultation, including any medicine or te"
hh_s3q06d_a,How long did it take to travel (one way) to your first consultation? Hours
hh_s3q06d_b,How long did it take to travel (one way) to your first consultation? Minute
hh_s3q07,What was the amin reason for you not consulting a health institution/traditional
s3q07_others,
hh_s3q08a,Have you consulted any medical assistance during the last 12 months?
hh_s3q08b,How many times have you consulted any medical assistance during the last 12 mon
hh_s3q09a,Were any of [NAME]'s consultations inpatient visits (i.e. [NAME] spent the night
hh_s3q09b,How many nights did [NAME] spend in any health facility in the last 12 months?
hh_s3q10,What were the total costs of all [NAME]'s health consultations in the last 12 mo
hh_s3q11,Is [NAME] currently covered under a health insurance scheme (such as through an
hh_s3q12_a,IS THIS MEMBER AGE 0-5 YEARS OLD?
hh_s3q12,"Do you have difficulty seeing, even if you are wearing glasses?"
hh_s3q13,"Do you have difficulty hearing, even if you are wearing a hearing aid?"
hh_s3q14,Do you have difficulty walking or climbing steps?
hh_s3q15,Do you have difficulty remembering or concentrating?
